Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Shanghai Dumpling King,611,Shanghainese,3.5,8.098199938087504
3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Purtea,27,"Bubble Tea, Coffee & Tea, Asian Fusion",4.5,986.2607337571735
3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Won Kok Restaurant,169,Chinese,3.0,23.53366873141012
b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Lounge Chinatown,115,"Taiwanese, Lounges",4.5,471.4261602310147
b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Pierre Pierre,5,Cajun/Creole,5.0,512.2922048947083
b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Oakland Street Food Co,237,"Street Vendors, Tacos, American",4.5,581.7547804623006
0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Parche,223,"Colombian, Tapas/Small Plates, Cocktail Bars",4.5,557.3741565375303
0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Duende,795,"Spanish, Tapas/Small Plates, Cocktail Bars",4.0,290.8442211201047
0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Yonsei Handrolls,192,Japanese,4.5,295.49436321150813
28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Fog Harbor Fish House,10045,"Seafood, Wine Bars, Cocktail Bars",4.5,723.3468731839994
28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Hillstone,2493,"New American, Wine Bars",4.0,218.50355829337178
28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,The Italian Homemade Company,1934,"Italian, Pasta Shops, International Grocery",4.5,828.1103470337217
eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Dumpling Time,2668,"Dim Sum, Asian Fusion",4.0,411.681645283682
eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Que Viet Vietnamese Grill & Pho,34,Vietnamese,4.5,761.7374920683302
eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Saap Ver Authentic Thai Cuisine,751,"Thai, Noodles, Laotian",4.0,433.1957005709547
d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Dumpling Time,2668,"Dim Sum, Asian Fusion",4.0,152.02747844955388
d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Niku Steakhouse,662,"Japanese, Steakhouses",4.5,169.10093211277663
d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Saap Ver Authentic Thai Cuisine,751,"Thai, Noodles, Laotian",4.0,110.30104248321787
bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,KAIYŌ Rooftop,780,"Peruvian, Cocktail Bars, Sushi Bars",4.0,730.906937772064
bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,The One Restaurant & Bar,65,"Asian Fusion, Barbeque, Dim Sum",4.5,566.6371721995433
bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Que Viet Vietnamese Grill & Pho,34,Vietnamese,4.5,784.616546750198
2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Willkommen,240,"German, Breweries, Gluten-Free",4.0,19.611588704718557
2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Santeria,309,"Mexican, Cocktail Bars",4.5,160.99357239608818
2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,The Rustic,46,"Italian, Modern European, New American",4.5,227.90308593584544
840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Berkeley Social Club,2090,"Breakfast & Brunch, Korean, Bars",4.0,318.16955670671996
840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Eureka!,2165,American,4.0,406.93302261443375
840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Imm Thai Street Food,1800,Thai,4.0,345.80003989898
9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Wahpepah’s Kitchen,202,"Salad, Game Meat, New American",4.5,240.91101114844818
9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Aguachiles El Tamarindo,388,"Food Trucks, Seafood, Mexican",4.0,162.9194378764896
9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Sticky Rice Cafe,382,Thai,4.0,413.89016718534816
6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,7TH WEST,127,"Venues & Event Spaces, Bars, Filipino",4.0,362.244569151549
6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Jolly-Jolly Coffee & Kitchen,139,"Caribbean, African",4.0,590.8544789459543
6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Salam Halal Market,62,"Halal, Middle Eastern, Meat Shops",4.5,620.6512081384719
55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Bacogai,211,"Hot Pot, Vietnamese",4.5,975.763141319546
55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Wahpepah’s Kitchen,202,"Salad, Game Meat, New American",4.5,91.40881642200253
55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Obelisco Restaurant,318,"Mexican, Gluten-Free, Vegetarian",4.5,81.0436533497383
726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Good Luck Gato,35,"Izakaya, New Mexican Cuisine",4.5,890.7278609826847
726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Popoca Oakland,79,"Salvadoran, Pop-Up Restaurants",4.5,1124.8726507621725
726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Huangcheng Noodle House,1009,"Chinese, Noodles",4.5,1105.7320960872985
bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Parche,223,"Colombian, Tapas/Small Plates, Cocktail Bars",4.5,1050.9973918425546
