location,Latitude,Longitude,Free_Bikes,Empty_Slots,Total_Bikes,name,category,closed_bucket,distance,postcode,latitude,longitude,region,city,state,review_count,rating
"San Francisco Bay Area, CA",37.8693603,-122.2543374,3.0,22.0,25.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8193814,-122.2619284,2.0,17.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8262863,-122.2651002,0.0,19.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8403643,-122.2644881,4.0,11.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8417999,-122.2515349,4.0,11.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.84427875399067,-122.251900434494,23.0,0.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8444927,-122.261351,5.0,9.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8087021,-122.2699271,8.0,19.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8113768,-122.2651925,12.0,15.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8013189,-122.2626418,8.0,14.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8426295,-122.267738,5.0,10.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8396488,-122.2717561,10.0,5.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.79728,-122.398436,24.0,11.0,35.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.792251,-122.397086,19.0,8.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.788975,-122.403452,26.0,4.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.85022187449679,-122.26017236709596,8.0,3.0,11.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.33203868095132,-121.8817663192749,16.0,3.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.788299978150825,-122.40853071212769,5.0,18.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8007544,-122.2748943,4.0,23.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8401858,-122.2618225,12.0,6.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8357883,-122.2516207,0.0,23.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8381269,-122.2512714,2.0,21.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.33279952386071,-121.88385039567946,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7735069,-122.4160402,4.0,15.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7737932060887,-122.42123901844025,18.0,16.0,34.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7717933,-122.4337079,3.0,24.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7730627,-122.4390777,4.0,22.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.799953,-122.398525,11.0,10.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7614205,-122.4264353,20.0,7.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7592103,-122.4213392,6.0,15.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7605936,-122.4148171,8.0,11.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7616343,-122.3906477,23.0,8.0,31.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7567083,-122.421025,9.0,13.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.321181834267314,-121.9030898809433,16.0,7.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32601084794081,-121.91232740879056,22.0,1.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.774017937683546,-122.4238085746765,17.0,8.0,25.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7328128005294,-122.43414044380188,23.0,17.0,40.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.34398467798214,-121.87438488006592,19.0,0.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.330698,-121.888979,9.0,6.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.331415,-121.8932,14.0,9.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.329732,-121.901782,7.0,28.0,35.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.333798,-121.886943,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.335885,-121.88566,12.0,11.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.333955,-121.877349,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.834174,-122.272968,8.0,7.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.333988,-121.894902,7.0,4.0,11.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7719996,-122.3899698,16.0,14.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78045005996349,-122.43194639682768,13.0,9.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78749210438603,-122.3982846736908,28.0,5.0,33.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.779046658472055,-122.44729131460188,7.0,15.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.75823842417928,-122.4260938167572,9.0,17.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8505777,-122.2781754,6.0,8.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.73981271734901,-122.42552250623704,7.0,12.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.35288682729121,-121.88604980707169,9.0,5.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.35306166133104,-121.89193725585936,18.0,5.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77452040113685,-122.4094493687153,5.0,23.0,28.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7765126,-122.4113061,13.0,14.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8723555,-122.2664467,17.0,6.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.866249,-122.2993708,17.0,6.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8658466,-122.2674431,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.86641794050319,-122.25379943847656,17.0,1.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.87055532905745,-122.27972030639648,13.0,2.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.870407115465376,-122.29967594146729,6.0,9.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.88022244590679,-122.26959228515624,5.0,10.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.87657254910685,-122.26952791213988,2.0,21.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.849594967776646,-122.26556897163393,3.0,12.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8465156,-122.2653043,3.0,16.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.81498823042416,-122.2748440504074,5.0,13.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8513755,-122.2525233,0.0,15.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8005161,-122.2720799,3.0,24.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7973195,-122.2653199,17.0,9.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.79857210846256,-122.40086898207666,18.0,1.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.34113203547954,-121.8928438425064,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.755367132158526,-122.38879501819608,25.0,5.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.72694296622841,-122.40659952163696,6.0,17.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.86906047545393,-122.29339957237242,16.0,3.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.771431362921085,-122.40578681230544,19.0,11.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.72927865173028,-122.39289611577988,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8178269,-122.2756976,9.0,10.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8277573,-122.2567156,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3509643,-121.9020161,21.0,6.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3383952,-121.8807965,10.0,9.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3371223728942,-121.88321471214294,22.0,0.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78352083526095,-122.43115782737732,4.0,22.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78487208436062,-122.40087568759915,17.0,1.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32673,-121.8892731,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.86996670760404,-122.28653311729433,12.0,2.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8624644,-122.2647911,4.0,19.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8588682,-122.2912095,13.0,0.0,13.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8623199,-122.258801,0.0,18.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.776619,-122.417385,8.0,22.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7770527,-122.4295585,3.0,23.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77754677017323,-122.43327409029006,3.0,18.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77610091264586,-122.4530929327011,14.0,13.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.780526,-122.390288,14.0,25.0,39.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.775946,-122.4377775,10.0,14.0,24.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7774157,-122.4418376,5.0,20.0,25.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7644783,-122.4025701,6.0,13.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7610471,-122.4326417,13.0,1.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3600013909666,-121.87877833843233,6.0,12.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32031582108647,-121.87009871006012,22.0,8.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.33677476275722,-121.90914899110793,11.0,12.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.31128394611736,-121.89632534980774,16.0,3.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.799207926286,-122.43412166833876,6.0,12.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32096853145443,-121.9082960486412,9.0,18.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3233446905968,-121.91349685192108,8.0,10.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.336802,-121.8940901,15.0,0.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.337391,-121.886995,8.0,15.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3172979,-121.884995,9.0,10.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3184498,-121.8831724,8.0,6.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.352601,-121.905733,18.0,5.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3487586867448,-121.89479783177376,23.0,4.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.342725,-121.895617,5.0,18.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.339301,-121.889937,7.0,8.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.332692,-121.900084,13.0,10.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77993,-122.2177284,0.0,19.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7837569,-122.2226033,4.0,11.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7851915,-122.2343822,4.0,11.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8113514,-122.2734217,3.0,11.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3550295822529,-121.90443634986876,9.0,10.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7504343570623,-122.39044725894928,8.0,6.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8312769,-122.2782669,13.0,1.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8409452,-122.2913604,5.0,14.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.84052116694969,-122.29352831840517,9.0,10.0,19.0,,,,,,,,,,,,
