Station_No,Station_ID,Bike_Lat,Bike_Lon,name,distance
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Rosario's Tacos,420
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Zeugma Kebab,429
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,FoodShed,540
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,La Penita Restaurant,135
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,San Jose Stage Company,137
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Orchestria Palm Court,168
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Academic Coffee,179
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Uproar Brewing Company,221
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Cali Spartan Mexican Kitchen,56
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Super Taqueria,90
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,William Launderland,90
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Pho Cong Ly,99
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Burrito Crazy,144
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Smile Market,294
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Kelly's Liquor Store,334
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,IHOP,369
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Pacific Air USA,395
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Taqueria Corona,416
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,BJ's Restaurant & Brewhouse,120
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Panera Bread,136
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Wingstop,144
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Rotary Play Garden,171
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Chili's Grill & Bar,249
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Tacos La San Marquenna,70
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,The Overlook Lounge,121
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,19th Street Station,202
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Parlour,244
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Coco Cafe,248
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Bardo Lounge & Supper Club,15
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Flipside,16
