Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Cardenas Markets,50,"Grocery, Mexican, Meat Shops",2.0,64.49988101058219
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,La Victoria Taqueria,252,Mexican,2.5,219.31390616819994
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Stone Stew,188,Persian/Iranian,4.5,272.8974723042449
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Subway,50,"Fast Food, Sandwiches",2.5,25.280627761025638
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Rosie's New York Pizza,650,"Pizza, Italian, Pasta Shops",3.5,48.060059839188334
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Uncle John's Pancake House - The Alameda,557,Breakfast & Brunch,4.5,72.81372454283687
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,Market Cocina,0,Mexican,0.0,41.34184444895263
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,True Brew San Jose - Taphouse & Kitchen,85,"Diners, American, Cocktail Bars",4.0,49.90099365832498
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,Hannah Coffee,1325,"Coffee & Tea, Sandwiches, Breakfast & Brunch",4.5,67.73462663428812
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Tostadas,1588,Breakfast & Brunch,4.0,13.15270166702264
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Sunny Island BBQ,119,"Hawaiian, Barbeque",3.5,30.70339331582753
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Rang Dong Restaurant,0,Restaurants,0.0,35.48448072120712
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Carnitas El Rincon - Keyes,54,"Mexican, Fast Food",4.0,54.953283801359994
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Pinto Cocina Mexicana,19,"Food Trucks, Mexican",5.0,125.94857989798717
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Burger Bar,208,Burgers,3.5,174.96450508330034
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Maxfield's House of Caffeine,287,"Coffee & Tea, Sandwiches",3.0,14.222149093276558
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Bandit Dolores,25,"Breakfast & Brunch, Burgers, Sandwiches",4.5,159.91066494799057
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Bitcoin Pizza - Mission,0,"Food Delivery Services, Italian, Pizza",0.0,169.1988126838387
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,SF Kebab,462,"Mediterranean, Middle Eastern, Kebab",4.0,68.9047298729538
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Equator Cafe,4,Cafes,2.5,85.5699895340372
